"Year","State","mk1","mk2","measure","other","type","chem_name","chem_index","Value"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"FUNGICIDE","OXATHIAPIPROLIN","128111",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"INSECTICIDE","CYCLANILIPROLE","26202",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"INSECTICIDE","PERMETHRIN","109701",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYCLANILIPROLE","26202",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","INSECTICIDE","PERMETHRIN","109701",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","INSECTICIDE","CYCLANILIPROLE","26202",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","INSECTICIDE","PERMETHRIN","109701",0
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",0
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","INSECTICIDE","CYCLANILIPROLE","26202",0
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","INSECTICIDE","PERMETHRIN","109701",0
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",0
2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111",0
2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","INSECTICIDE","CYCLANILIPROLE","26202",0
2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","INSECTICIDE","PERMETHRIN","109701",0
2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",0
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","AZOXYSTROBIN","128810",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BACILLUS SUBTILIS","6479",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BLAD","30006",0
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BORAX DECAHYDRATE","11102",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BOSCALID","128008",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","CAPTAN","81301",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","CYFLUFENAMID","555550",0
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","CYPRODINIL","288202",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","DIFENOCONAZOLE","128847",0
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","FENHEXAMID","90209",NA
2023,"CALIFORNIA","BEARING","APPLICATIONS","LB",NA,"FUNGICIDE","FLUDIOXONIL","71503",NA
