"Year","Period","Geo Level","State","State ANSI","mkt","measure","other","col1","col2","Domain Category","Value"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (NITROGEN)","393,000"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","216,000"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (POTASH)","393,000"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","13"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","10"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","13"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","165"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","88"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","141"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","12.6"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","8.6"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","10.5"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","61"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","63"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","72"
2023,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (NITROGEN)","283,000"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","52,000"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (POTASH)","538,000"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","12"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","4"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","22"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","43"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","29"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","79"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","3.6"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","7.6"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","3.6"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
