"Year","Period","Geo Level","State","market","product_price","summ","measure","Value"
2024,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","ADJUSTED BASE","$ / CWT","10.9"
2024,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","ADJUSTED BASE","$ / TON","4.04"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"$ / CWT","123"
2023,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","142"
2023,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","43.8"
2023,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"$ / CWT","121"
2023,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"$ / CWT","147"
2023,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"$ / CWT","142"
2023,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"$ / CWT","43.8"
2023,"YEAR","NATIONAL","US TOTAL",NA,"HARVESTED",NA,"acres","56,800"
2023,"YEAR","NATIONAL","US TOTAL",NA,"PLANTED",NA,"Acres","57,300"
2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"$","3,398,943,000"
2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"CWT","27,560,000"
2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"TONS","1,378,000"
